experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,p_value_holm,status,report_status
A1_supplementary,WFG9,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,igd_plus,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,gd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,gd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,spread,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,spread,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,-0.8626430801248699,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,WFG9,time_s,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-0.8896982310093653,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,WFG9,time_s,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-0.11550468262226847,comparison_better,0.011704971082508564,usable,usable
A1_supplementary,ZDT1,hv,higher,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,hv,higher,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,igd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,igd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,igd_plus,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,gd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,gd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,spread,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,spread,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,ZDT1,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.8668054110301769,reference_better,2.7623027563095093e-06,usable,usable
A1_supplementary,ZDT1,time_s,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.4797086368366285,reference_better,0.0018533961847424507,usable,usable
