problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_single_S3,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,-1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_single_S4,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_uniform_strategy,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,0.9750260145681582,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,hv,MOSADE,MOSADE_domselect,higher,paired,wilcoxon_signed_rank,105.0,0.00413934513926506,cliffs_delta_comparison_minus_reference,-0.5671175858480749,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,hv,MOSADE,MOSADE_eps_zero,higher,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,hv,MOSADE,MOSADE_fixed_eps_initial,higher,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,124.0,0.014004520140588284,cliffs_delta_comparison_minus_reference,-0.3173777315296566,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,hv,MOSADE,MOSADE_shared_memory,higher,paired,wilcoxon_signed_rank,159.0,0.0828599464148283,cliffs_delta_comparison_minus_reference,0.2445369406867846,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,10.0,4.0046870708465576e-08,cliffs_delta_comparison_minus_reference,0.8834547346514048,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd,MOSADE,MOSADE_eps_zero,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd,MOSADE,MOSADE_fixed_eps_initial,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,150.0,0.055239553563296795,cliffs_delta_comparison_minus_reference,-0.2445369406867846,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,179.0,0.1820761300623417,cliffs_delta_comparison_minus_reference,-0.21748178980228927,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,0.9979188345473465,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_eps_zero,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_fixed_eps_initial,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,229.0,0.7206862810999155,cliffs_delta_comparison_minus_reference,0.05098855359001041,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,241.0,0.9000833509489894,cliffs_delta_comparison_minus_reference,0.046826222684703434,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
