experiment_group,problem,variant,metric,direction,n_runs,median,iqr,mean,std,min,max,rank,best_flag,status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A5,ZDT1,MOSADE_domselect,gd,lower,31,0.00016652088215418848,9.880057750160428e-06,0.00017549726014467603,4.606492065737486e-05,0.00014957182731847418,0.00041158381492273447,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE,hv,higher,31,7.350925324306885,3.811456901825494e-05,7.350911375790514,5.583425148879225e-05,7.350734672588025,7.351001221408442,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE_domselect,hv,higher,31,7.35075118098192,0.000203143921922333,7.350664118401894,0.00019538950611718088,7.3501662416386715,7.350859498656996,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE,igd,lower,31,0.0018855962261610732,1.6256684885967033e-05,0.0018860971927361614,1.9839395181076936e-05,0.0018428113386172202,0.0019349819206545878,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE_domselect,igd,lower,31,0.0019381563130636042,4.133553313225252e-05,0.0019491894690138085,4.441728984159498e-05,0.0018838628310497295,0.0020725767373422793,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE,igd_plus,lower,31,0.0012339967848856235,2.5518730814563795e-05,0.0012409903720464654,2.52262458663405e-05,0.0011989223335173106,0.0013247959214053053,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE_domselect,igd_plus,lower,31,0.0013578664094307457,0.0001162375087737891,0.0013953070030160762,0.00010712834147277374,0.0012844087758610379,0.00165851152268792,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE,spread,lower,31,0.14304765029866076,0.03052769862090804,0.20288060392184962,0.1673606543480232,0.13032081452862074,0.9385968388238067,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE_domselect,spread,lower,31,0.16267137929826317,0.011411262758640184,0.16555185229045327,0.015738385893173317,0.14212715810445184,0.2357122958043258,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE,time_s,lower,31,544.2524824000138,10.154187000007369,538.5430002806421,31.081153008257942,376.6901614999806,560.6459570000006,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,MOSADE_domselect,time_s,lower,31,967.7855632999854,22.927422750013648,963.3171899419348,46.33631289162043,732.6110248000186,1010.0046707000001,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
